time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-10-10 01:00:00-04:00,BollingerBandsBased,08b75c598968497785a144e310b0bec0,ETH,buy,market,new,1,gtc,0.0,1,crypto,,,
2021-10-10 01:00:00-04:00,BollingerBandsBased,08b75c598968497785a144e310b0bec0,ETH,buy,market,fill,1,gtc,0.0,1,crypto,0.065,403226.0,0.0
2022-07-16 01:00:00-04:00,BollingerBandsBased,b1c537b7b7c0485e9d12786764e38eff,ETH,sell,market,new,1,gtc,0.0,1,crypto,,,
2022-07-16 01:00:00-04:00,BollingerBandsBased,b1c537b7b7c0485e9d12786764e38eff,ETH,sell,market,fill,1,gtc,0.0,1,crypto,0.059,403226.0,0.0
2022-12-16 00:00:00-05:00,BollingerBandsBased,4103c532c3584cc7936e10d606be993e,ETH,buy,market,new,1,gtc,0.0,1,crypto,,,
2022-12-16 00:00:00-05:00,BollingerBandsBased,4103c532c3584cc7936e10d606be993e,ETH,buy,market,fill,1,gtc,0.0,1,crypto,0.073,348502.0,0.0
2023-11-09 00:00:00-05:00,BollingerBandsBased,d2b85034e13141ef8f4a7fa5913bf27b,ETH,sell,market,new,1,gtc,0.0,1,crypto,,,
2023-11-09 00:00:00-05:00,BollingerBandsBased,d2b85034e13141ef8f4a7fa5913bf27b,ETH,sell,market,fill,1,gtc,0.0,1,crypto,0.053,348502.0,0.0
2023-12-05 00:00:00-05:00,BollingerBandsBased,e880a3b3ad144150ab9df6b489108814,ETH,buy,market,new,1,gtc,0.0,1,crypto,,,
2023-12-05 00:00:00-05:00,BollingerBandsBased,e880a3b3ad144150ab9df6b489108814,ETH,buy,market,fill,1,gtc,0.0,1,crypto,0.053,435628.0,0.0
